"group","observed_1","observed_0","expected_1","expected_0","chi_component_1","chi_component_0"
1,1,75,3.55058112189008,72.4494188781099,1.83222515864643,0.0897931848188726
2,3,73,6.28523067785741,69.7147693221426,1.71715902882575,0.154812828209524
3,7,68,9.50459633667101,65.495403663329,0.659996762352032,0.0957777562821272
4,18,57,13.47187152681,61.52812847319,1.52198211131314,0.333245102337998
5,24,51,17.9748194113214,57.0251805886786,2.01964761344551,0.636610015986458
6,27,48,23.4999358733562,51.5000641266438,0.521297119985262,0.237872497799106
7,28,47,30.3394026561154,44.6605973438846,0.180386042845731,0.122542131384844
8,38,37,41.2707687364345,33.7292312635655,0.259213202340787,0.317170825615382
9,54,21,53.1022464939386,21.8977535060615,0.0151775378794496,0.0368056639884331
10,64,11,65.0005480415668,9.99945195843315,0.0154013529677175,0.100115125073327
